Title,Company,Location,Summary Salary,Summary Type,Job URL
Summer 2025 Intern- Design Software Engineer,Minnetronix,"Saint Paul, MN 55108",,"Full-time
+1",https://www.indeed.com/rc/clk?jk=ba20d1a57797e889&bb=NPmdRZb5ndxPSMJ-DkHSMjh6eHJKK7PHQsZa5nmu6ASkbUXI9KPM1qO7v_AWzSQsTVbiK7mOJjrdDl4T2jmzp-vifQH-bIwKddzfTPgfdTHpH9oKZdC9wgR7kSYs9I89&xkcb=SoA767M33IFi_EAVEL0EbzkdCdPP&fccid=a278df381e23e07d&vjs=3
Software Engineering Intern,Fundusol,Remote,,,https://www.indeed.com/rc/clk?jF_hC-pZzYScxJ6gFjtuRLTOUnxCkwtBI4t3ltYjzL_WDGPYTlTSEN7Ew15lLQvClQvyztRIWLtMPcKt2ICFMpPw1CyalQEVel_Q&xkcb=SoAc67M33IFi_EAVEL0bbzkdCdPP&fccid=d66624ea058f5a48&cmp=Fundusol&ti=Software+Engineer+Intern&vjs=3
"Software Engineer, Intern",IXL Learning,"San Mateo, CA",$29 - $46 an hour,"Full-time
+2",https://www.indeed.com/rc/clk?jk=54920ad904143c5f&bb=NPmdRZb5ndxPSMJ-DkHSMkt22k4mRktA0rSBLuEuJ-dIKRBQvCrLb9cqIUgEmMgJ4NPqg4PIYslhWbUmUMcE9lcyX8OV-lI8_gxp8dY6n8BPtP93UMDtI93MCRde1MZV&xkcb=SoCo67M33IFi_EAVEL0abzkdCdPP&fccid=94036c5004c09ecc&vjs=3
Software Engineering Intern,Granite Telecommunications,"Quincy, MA 02171",,Internship,https://www.indeed.com/rc/clk?jk=2a1966d67fd44c91&bb=NPmdRZb5ndxPSMJ-DkHSMszw16bpcl3iTxuWyeI8MHgtbluehJvSfO4LH4Z9CVZPF8eY8t8N-M-b7G4SrUVvUtffrY5N_S-xkrUyGywzR8yMJ3iNVnRzdHJXoGQ5VqOo&xkcb=SoA167M33IFi_EAVEL0ZbzkdCdPP&fccid=40abf9aeefc5d4f2&vjs=3
2025 Summer Intern - Software Engineer,WeRide.ai,"San Jose, CA 95134",,,https://www.indeed.com/rc/clk?jk=414ede9c011b9b89&bb=NPmdRZb5ndxPSMJ-DkHSMsQerv7o2Neb1iZe-z42QtvHgHoWY4tAHrssvqZrDOoZQHlc7H8LWMwau8A1exU3d2fzaayeVNWjF8mvk6cBUAXsKwP_xHXzehFcXmnMWECe&xkcb=SoCB67M33IFi_EAVEL0YbzkdCdPP&fccid=a7081d2f52016a53&vjs=3
Software Engineer Intern,ATPCO,"Herndon, VA 20171",,,https://www.indeed.com/rc/clk?jk=200bd473f15feb46&bb=wOdMttE25O0zg89WF7QBUzawDNfaTm5InpN3gB7eqP-oxRF7uWhyLpEo5LgLWrWpVUByvulsNwVSUjD8SB4LUS5dAgB1YboUac5vhcIIjC4gDjFrwPEKOlTyRJP4Fqrx&xkcb=SoAs67M33IF1-ugXjr0LbzkdCdPP&fccid=9e48d5b13497d679&vjs=3
"Frontend Software Engineer Intern (US, Remote)",GreatFrontEnd,Remote,,,https://www.indeed.com/rc/clk?jk=97e06784381d232d&bb=wOdMttE25O0zg89WF7QBU4mCSWm7TjYfhPTXtLG_Lk11zkJe_SQLsxeFvApvIHhqIi5dSCUejAxxkzUsDflX2_XOAI2lwsgAOgj__htdqz3heMfFU-w5CYnFfztk-c-V&xkcb=SoCY67M33IF1-ugXjr0KbzkdCdPP&fccid=90f2963c670c2194&cmp=GreatFrontEnd&ti=Front+End+Developer&vjs=3
Software Engineer Intern (Summer 2025),Dropbox,Remote,"$8,000 - $9,500 a month",Internship,https://www.indeed.com/rc/clk?jk=df0a1fdde6574dcb&bb=wOdMttE25O0zg89WF7QBU3Y9az7RgmveoNp4GKWojZXUOSJQjBckl7khU3KbT-x1RcaY0TTf4Dpwu-MKfIkiRPdcTLA-oSPJXpli5CEv6KchClMiKOacHF7Tn0ztq90O&xkcb=SoAF67M33IF1-ugXjr0JbzkdCdPP&fccid=f1d7bca9913021e8&vjs=3
Software Engineer (Intern),Naptha AI,Remote in California,,,https://www.indeed.com/rc/clk?jk=4d6b4da8573c9d2b&bb=wOdMttE25O0zg89WF7QBU-2I9tEhDunnVGuUDgPlf78_zYsS55UVjbQv6j0qNB7pQEFU7-bjLrno5ITBY7-r2lEFqh6PCWImTueZoKyDdrOhSfZcn_I-nWYHa01xhz6S&xkcb=SoCx67M33IF1-ugXjr0IbzkdCdPP&fccid=3db2e5716ffa5965&vjs=3
Software Engineer Intern,Play AI,"Palo Alto, CA",,,https://www.indeed.com/rc/clk?jk=5ef13543f8d236a4&bb=wOdMttE25O0zg89WF7QBU0o3xUHnOnaCqBFmRRx3bljf4q_rQxcmHk7fdt9atTbiroEgomzJNQqoSxdcXQCbdTEBOVNFA4aeU8LKPyHK5Cwpbf8nqEG8Ifokp6XVMcIw&xkcb=SoA_67M33IF1-ugXjr0PbzkdCdPP&fccid=a88c7a091663d03b&vjs=3
Software Engineer Intern,Folio,Remote,,,https://www.indeed.com/rc/clk?jk=68716143fb4f7139&bb=wOdMttE25O0zg89WF7QBU5txuVcNznFboi9MnT8sGaV1xS40wLmXAXMk8eEgUJMOE1Nm2xAevrm6hO8MpeDEbeZ-Wvc_xXIDoZJa7S4DliEmtxCXRhyJXiPEds15vf8A&xkcb=SoCL67M33IF1-ugXjr0ObzkdCdPP&fccid=d7730631f5a34d19&cmp=Folio&ti=Software+Engineer+Intern&vjs=3
Software Engineer Intern,"Continu, Inc",Remote,,,https://www.indeed.com/rc/clk?jk=71edbe239a010848&bb=wOdMttE25O0zg89WF7QBU9ZPOfgu1sds3GBCiHHgedH12ZKIJWz9LtM111jGg3e4vYkugMvanNGrXpRVBIOBVnbiMviz0obv3K9oQA6ZzG2Xcjnpx7AqPJKS4u4qA2TV&xkcb=SoAW67M33IF1-ugXjr0NbzkdCdPP&fccid=a48c163bb8884a11&vjs=3
Software Engineer Intern,TELI.AI,Remote,,Internship,https://www.indeed.com/rc/clk?jk=2195ca693ae443ed&bb=wOdMttE25O0zg89WF7QBUyCdjCWbaz98Pm-7KP9IPXeHuFNREShtT4Sd3s3KH8K9R028OroeiR5AMIOaiV8taI5kRT8aieSZbeNyDiaXrUwDF4RcJVnnC2NOm_qIJ-xn&xkcb=SoCi67M33IF1-ugXjr0MbzkdCdPP&fccid=90c3435adf0b1fbe&cmp=TELI.AI&ti=Software+Engineer+Intern&vjs=3
Software Engineer - Intern (Summer),Snackpass Part Time Openings,"Remote in San Francisco Bay Area, CA",$45 an hour,"Internship
+1",https://www.indeed.com/rc/clk?jk=4e50de156ac19ebd&bb=wOdMttE25O0zg89WF7QBU5tTCzJ8FGeurGdTFO4hBI1raFGD2-mWDLjSDgZ3JkNZJKpsq0aJ7vQlSjuf0WGAx6YhG9dJK8N0QzHeRDa-baatwXrvh5Ws7c5ws5QDpnSp&xkcb=SoBL67M33IF1-ugXjr0DbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Intern (Software Engineer),Cartesia,"San Francisco, CA",,,https://www.indeed.com/rc/clk?jk=72fb2f9df990fd43&bb=wOdMttE25O0zg89WF7QBU4i6Wk2SsRtOtrMZomhnW1QJz32mp1aId9JhyHCGYE1jBgVoDSnWrvpwPlsFsZyt6ml_LMid-oFpNDmzYL8A0NAb2Uh9uSvUOPGde4bpcEUl&xkcb=SoD_67M33IF1-ugXjr0CbzkdCdPP&fccid=be59b08211753c2c&vjs=3
Flight Software Intern,Capella Space,"Louisville, CO",$35 an hour,Internship,https://www.indeed.com/rc/clk?jk=33091e5d8b29e929&bb=wOdMttE25O0zg89WF7QBUzbII3uyDsSxUfn9u4lnMUB8KhwHHyxCT5Dv9Mp9hHJhW3Jf9eLaWRvQSqlM9s1og_lxdIRvo4ksxwgzO6hlzmKc4Sk3iHihCIiz7MBLk2me&xkcb=SoBi67M33IF1-ugXjr0BbzkdCdPP&fccid=f04d3841dc8a3cc4&vjs=3
Remote Software Engineering intern,Springer Capital,Remote,"$1,000 a month","Full-time
+2",https://www.indeed.com/rc/clk?jk=238ef761c9c2b90d&bb=wOdMttE25O0zg89WF7QBU57daf74MQpmKd9CILs-5L77Di7a1huB41NrLiIgif1Hnu83s3n7Q29a-6E5dQwufo0Y4wbkoZcuente25K276fY_qla300PjrsxikgB2wkv&xkcb=SoDW67M33IF1-ugXjr0AbzkdCdPP&fccid=6d84d080c9fcf8e7&cmp=Springer-Capital&ti=Software+Engineer+Intern&vjs=3
Software Developer training Internship,"Signimus Technolgies: Hiring Python, MERN, React...",Remote in Indiana,,,https://www.indeed.com/rc/clk?jk=da388d0cc72cd924&bb=wOdMttE25O0zg89WF7QBU2lh7J5t_IRv7pRKiutrZHsAi7Ik1MRLdW_m8oyuvapFxXq2IW51h8bc7KyFeiTQr1IPc2bqY69e3_z4S4Kw07hX8xFX1SVGDIgv-AK7In-c&xkcb=SoBY67M33IF1-ugXjr0HbzkdCdPP&fccid=9147d35dc062c1d6&cmp=Signimus-Technolgies%253A-Hiring-Python%2C-MERN%2C-React-Native-and-other-Devs&ti=Software+Engineer&vjs=3
Software Engineering Intern,Fundusol,Remote,,,https://www.indeed.com/rc/clk?jk=66e447a91f290837&bb=wOdMttE25O0zg89WF7QBU8_n25WXLn2TQbUaL1PkAS5WWfjuzA8urCmTJfutNlV5JdVsXSXqzpHDid-2mFPIii0NrAsP_1TZgI8XqbDqu9sFu0p8vekyzsDHBJSjZnBo&xkcb=SoDs67M33IF1-ugXjr0GbzkdCdPP&fccid=d66624ea058f5a48&cmp=Fundusol&ti=Software+Engineer+Intern&vjs=3
"Intern, Software Engineering",Dynon Avionics Inc,"Canby, OR 97013",$24 - $27 an hour,Internship,https://www.indeed.com/rc/clk?jk=496c25960a5ba2cc&bb=wOdMttE25O0zg89WF7QBU2OqxKCp1leXHDF783qFhQkZSmeqqGMeLLELwwxU1oevPzhwcewAmm4aMtZLJSb408NDo4DtA7lxeqOVhegzUHWYzJViA0GB10iSZ2Baj7-7&xkcb=SoBx67M33IF1-ugXjr0FbzkdCdPP&fccid=83167cad79b753b3&vjs=3
